dpto,mpio,codmpio,anio,salida,llegada,lon,lat
Amazonas,Leticia,91001,1990,2,5,-69.941,-4.2
Amazonas,Leticia,91001,1991,6,0,-69.941,-4.2
Amazonas,Leticia,91001,1993,46,50,-69.941,-4.2
Amazonas,Leticia,91001,1994,8,8,-69.941,-4.2
Amazonas,Leticia,91001,1995,3,9,-69.941,-4.2
Amazonas,Leticia,91001,1996,6,14,-69.941,-4.2
Amazonas,Leticia,91001,1997,7,30,-69.941,-4.2
Amazonas,Leticia,91001,1998,16,21,-69.941,-4.2
Amazonas,Leticia,91001,1999,19,18,-69.941,-4.2
Amazonas,Leticia,91001,2000,4,43,-69.941,-4.2
Amazonas,Leticia,91001,2001,6,97,-69.941,-4.2
Amazonas,Leticia,91001,2002,21,113,-69.941,-4.2
Amazonas,Leticia,91001,2003,35,184,-69.941,-4.2
Amazonas,Leticia,91001,2004,42,178,-69.941,-4.2
Amazonas,Leticia,91001,2005,36,169,-69.941,-4.2
Amazonas,Leticia,91001,2006,45,159,-69.941,-4.2
Amazonas,Leticia,91001,2007,116,50,-69.941,-4.2
Amazonas,Leticia,91001,2008,50,106,-69.941,-4.2
Amazonas,Leticia,91001,2009,58,123,-69.941,-4.2
Amazonas,Leticia,91001,2010,39,131,-69.941,-4.2
Amazonas,Leticia,91001,2011,57,95,-69.941,-4.2
Amazonas,Leticia,91001,2012,64,49,-69.941,-4.2
Amazonas,Leticia,91001,2013,52,71,-69.941,-4.2
Amazonas,Leticia,91001,2014,74,111,-69.941,-4.2
Amazonas,Leticia,91001,2015,92,20,-69.941,-4.2
Amazonas,Leticia,91001,2016,17,21,-69.941,-4.2
Amazonas,Leticia,91001,2017,40,32,-69.941,-4.2
Amazonas,Leticia,91001,2018,11,19,-69.941,-4.2
Amazonas,Leticia,91001,2019,10,18,-69.941,-4.2
Amazonas,Puerto Nariño,91540,1992,3,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,1993,1,5,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2000,17,5,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2001,3,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2004,4,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2005,5,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2007,9,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2008,4,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2012,1,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2013,2,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2015,7,0,-70.365,-3.78
Amazonas,Puerto Nariño,91540,2018,2,0,-70.365,-3.78
Antioquia,Abejorral,5002,1979,2,2,-75.429,5.789
Antioquia,Abejorral,5002,1985,4,5,-75.429,5.789
Antioquia,Abejorral,5002,1986,3,0,-75.429,5.789
Antioquia,Abejorral,5002,1987,12,3,-75.429,5.789
Antioquia,Abejorral,5002,1988,39,17,-75.429,5.789
Antioquia,Abejorral,5002,1989,33,6,-75.429,5.789
Antioquia,Abejorral,5002,1990,43,15,-75.429,5.789
Antioquia,Abejorral,5002,1991,33,20,-75.429,5.789
Antioquia,Abejorral,5002,1992,12,4,-75.429,5.789
Antioquia,Abejorral,5002,1993,26,22,-75.429,5.789
Antioquia,Abejorral,5002,1994,37,31,-75.429,5.789
Antioquia,Abejorral,5002,1995,119,103,-75.429,5.789
Antioquia,Abejorral,5002,1996,69,34,-75.429,5.789
Antioquia,Abejorral,5002,1997,102,82,-75.429,5.789
Antioquia,Abejorral,5002,1998,191,115,-75.429,5.789
Antioquia,Abejorral,5002,1999,381,161,-75.429,5.789
Antioquia,Abejorral,5002,2000,1004,438,-75.429,5.789
Antioquia,Abejorral,5002,2001,962,396,-75.429,5.789
Antioquia,Abejorral,5002,2002,2081,699,-75.429,5.789
Antioquia,Abejorral,5002,2003,1313,642,-75.429,5.789
Antioquia,Abejorral,5002,2004,994,355,-75.429,5.789
Antioquia,Abejorral,5002,2005,587,211,-75.429,5.789
Antioquia,Abejorral,5002,2006,471,140,-75.429,5.789
Antioquia,Abejorral,5002,2007,354,143,-75.429,5.789
Antioquia,Abejorral,5002,2008,330,97,-75.429,5.789
Antioquia,Abejorral,5002,2009,80,20,-75.429,5.789
Antioquia,Abejorral,5002,2010,104,38,-75.429,5.789
Antioquia,Abejorral,5002,2011,69,31,-75.429,5.789
Antioquia,Abejorral,5002,2012,46,23,-75.429,5.789
Antioquia,Abejorral,5002,2013,20,7,-75.429,5.789
Antioquia,Abejorral,5002,2014,42,10,-75.429,5.789
Antioquia,Abejorral,5002,2015,15,9,-75.429,5.789
Antioquia,Abejorral,5002,2016,6,27,-75.429,5.789
Antioquia,Abejorral,5002,2017,8,0,-75.429,5.789
Antioquia,Abejorral,5002,2018,10,7,-75.429,5.789
Antioquia,Abejorral,5002,2019,2,1,-75.429,5.789
Antioquia,Abriaquí,5004,1980,1,1,-76.065,6.632
Antioquia,Abriaquí,5004,1985,16,4,-76.065,6.632
Antioquia,Abriaquí,5004,1986,10,11,-76.065,6.632
Antioquia,Abriaquí,5004,1987,22,0,-76.065,6.632
Antioquia,Abriaquí,5004,1988,22,7,-76.065,6.632
Antioquia,Abriaquí,5004,1990,16,15,-76.065,6.632
Antioquia,Abriaquí,5004,1991,14,6,-76.065,6.632
Antioquia,Abriaquí,5004,1992,6,1,-76.065,6.632
Antioquia,Abriaquí,5004,1993,6,7,-76.065,6.632
Antioquia,Abriaquí,5004,1994,39,1,-76.065,6.632
Antioquia,Abriaquí,5004,1995,48,28,-76.065,6.632
Antioquia,Abriaquí,5004,1996,159,54,-76.065,6.632
Antioquia,Abriaquí,5004,1997,82,54,-76.065,6.632
Antioquia,Abriaquí,5004,1998,211,80,-76.065,6.632
Antioquia,Abriaquí,5004,1999,290,112,-76.065,6.632
Antioquia,Abriaquí,5004,2000,411,238,-76.065,6.632
Antioquia,Abriaquí,5004,2001,77,13,-76.065,6.632
Antioquia,Abriaquí,5004,2002,83,30,-76.065,6.632
Antioquia,Abriaquí,5004,2003,67,29,-76.065,6.632
Antioquia,Abriaquí,5004,2004,88,35,-76.065,6.632
Antioquia,Abriaquí,5004,2005,61,13,-76.065,6.632
Antioquia,Abriaquí,5004,2006,19,0,-76.065,6.632
Antioquia,Abriaquí,5004,2007,13,25,-76.065,6.632
Antioquia,Abriaquí,5004,2008,27,27,-76.065,6.632
Antioquia,Abriaquí,5004,2009,5,8,-76.065,6.632
Antioquia,Abriaquí,5004,2010,14,14,-76.065,6.632
Antioquia,Abriaquí,5004,2011,10,3,-76.065,6.632
Antioquia,Abriaquí,5004,2012,5,4,-76.065,6.632
Antioquia,Abriaquí,5004,2013,3,3,-76.065,6.632
Antioquia,Abriaquí,5004,2014,6,10,-76.065,6.632
Antioquia,Abriaquí,5004,2016,4,0,-76.065,6.632
Antioquia,Abriaquí,5004,2017,2,4,-76.065,6.632
Antioquia,Abriaquí,5004,2019,3,1,-76.065,6.632
Antioquia,Alejandría,5021,1985,4,0,-75.141,6.376
Antioquia,Alejandría,5021,1988,8,3,-75.141,6.376
Antioquia,Alejandría,5021,1989,13,3,-75.141,6.376
Antioquia,Alejandría,5021,1990,6,3,-75.141,6.376
Antioquia,Alejandría,5021,1991,2,0,-75.141,6.376
Antioquia,Alejandría,5021,1992,8,2,-75.141,6.376
Antioquia,Alejandría,5021,1993,16,2,-75.141,6.376
Antioquia,Alejandría,5021,1994,23,18,-75.141,6.376
Antioquia,Alejandría,5021,1995,26,4,-75.141,6.376
Antioquia,Alejandría,5021,1996,17,12,-75.141,6.376
Antioquia,Alejandría,5021,1997,35,9,-75.141,6.376
Antioquia,Alejandría,5021,1998,65,15,-75.141,6.376
Antioquia,Alejandría,5021,1999,210,223,-75.141,6.376
Antioquia,Alejandría,5021,2000,1181,462,-75.141,6.376
Antioquia,Alejandría,5021,2001,2364,1562,-75.141,6.376
Antioquia,Alejandría,5021,2002,686,274,-75.141,6.376
Antioquia,Alejandría,5021,2003,424,235,-75.141,6.376
Antioquia,Alejandría,5021,2004,117,46,-75.141,6.376
Antioquia,Alejandría,5021,2005,101,39,-75.141,6.376
Antioquia,Alejandría,5021,2006,99,45,-75.141,6.376
Antioquia,Alejandría,5021,2007,81,29,-75.141,6.376
Antioquia,Alejandría,5021,2008,42,4,-75.141,6.376
Antioquia,Alejandría,5021,2009,30,17,-75.141,6.376
Antioquia,Alejandría,5021,2010,16,44,-75.141,6.376
Antioquia,Alejandría,5021,2012,16,15,-75.141,6.376
Antioquia,Alejandría,5021,2013,2,21,-75.141,6.376
Antioquia,Alejandría,5021,2014,10,30,-75.141,6.376
Antioquia,Alejandría,5021,2015,3,6,-75.141,6.376
Antioquia,Alejandría,5021,2016,5,12,-75.141,6.376
Antioquia,Alejandría,5021,2017,2,2,-75.141,6.376
Antioquia,Alejandría,5021,2018,1,0,-75.141,6.376
Antioquia,Amagá,5030,1981,4,0,-75.702,6.039
Antioquia,Amagá,5030,1985,2,9,-75.702,6.039
Antioquia,Amagá,5030,1986,4,0,-75.702,6.039
Antioquia,Amagá,5030,1988,10,2,-75.702,6.039
Antioquia,Amagá,5030,1989,2,10,-75.702,6.039
Antioquia,Amagá,5030,1990,1,16,-75.702,6.039
Antioquia,Amagá,5030,1992,41,21,-75.702,6.039
Antioquia,Amagá,5030,1993,26,26,-75.702,6.039
Antioquia,Amagá,5030,1994,4,11,-75.702,6.039
Antioquia,Amagá,5030,1995,21,42,-75.702,6.039
Antioquia,Amagá,5030,1996,12,53,-75.702,6.039
Antioquia,Amagá,5030,1997,11,69,-75.702,6.039
Antioquia,Amagá,5030,1998,45,66,-75.702,6.039
Antioquia,Amagá,5030,1999,50,68,-75.702,6.039
Antioquia,Amagá,5030,2000,163,114,-75.702,6.039
Antioquia,Amagá,5030,2001,135,83,-75.702,6.039
Antioquia,Amagá,5030,2002,144,42,-75.702,6.039
Antioquia,Amagá,5030,2003,125,30,-75.702,6.039
Antioquia,Amagá,5030,2004,42,45,-75.702,6.039
Antioquia,Amagá,5030,2005,91,44,-75.702,6.039
Antioquia,Amagá,5030,2006,66,72,-75.702,6.039
Antioquia,Amagá,5030,2007,39,31,-75.702,6.039
Antioquia,Amagá,5030,2008,104,51,-75.702,6.039
Antioquia,Amagá,5030,2009,46,73,-75.702,6.039
Antioquia,Amagá,5030,2010,34,58,-75.702,6.039
Antioquia,Amagá,5030,2011,96,27,-75.702,6.039
Antioquia,Amagá,5030,2012,60,50,-75.702,6.039
Antioquia,Amagá,5030,2013,141,61,-75.702,6.039
Antioquia,Amagá,5030,2014,115,65,-75.702,6.039
Antioquia,Amagá,5030,2015,74,59,-75.702,6.039
Antioquia,Amagá,5030,2016,54,54,-75.702,6.039
Antioquia,Amagá,5030,2017,19,20,-75.702,6.039
Antioquia,Amagá,5030,2018,16,34,-75.702,6.039
Antioquia,Amagá,5030,2019,6,4,-75.702,6.039
Antioquia,Amalfi,5031,1977,7,0,-75.083,6.912
Antioquia,Amalfi,5031,1980,3,0,-75.083,6.912
Antioquia,Amalfi,5031,1982,35,17,-75.083,6.912
Antioquia,Amalfi,5031,1983,7,0,-75.083,6.912
Antioquia,Amalfi,5031,1984,1,0,-75.083,6.912
Antioquia,Amalfi,5031,1985,89,63,-75.083,6.912
Antioquia,Amalfi,5031,1986,81,14,-75.083,6.912
Antioquia,Amalfi,5031,1987,21,13,-75.083,6.912
Antioquia,Amalfi,5031,1988,34,27,-75.083,6.912
Antioquia,Amalfi,5031,1989,35,44,-75.083,6.912
Antioquia,Amalfi,5031,1990,41,26,-75.083,6.912
Antioquia,Amalfi,5031,1991,36,14,-75.083,6.912
Antioquia,Amalfi,5031,1992,88,71,-75.083,6.912
Antioquia,Amalfi,5031,1993,64,28,-75.083,6.912
Antioquia,Amalfi,5031,1994,87,45,-75.083,6.912
Antioquia,Amalfi,5031,1995,105,26,-75.083,6.912
Antioquia,Amalfi,5031,1996,89,64,-75.083,6.912
Antioquia,Amalfi,5031,1997,462,251,-75.083,6.912
Antioquia,Amalfi,5031,1998,840,395,-75.083,6.912
Antioquia,Amalfi,5031,1999,423,124,-75.083,6.912
Antioquia,Amalfi,5031,2000,844,508,-75.083,6.912
Antioquia,Amalfi,5031,2001,548,223,-75.083,6.912
Antioquia,Amalfi,5031,2002,573,262,-75.083,6.912
Antioquia,Amalfi,5031,2003,130,48,-75.083,6.912
Antioquia,Amalfi,5031,2004,173,91,-75.083,6.912
Antioquia,Amalfi,5031,2005,241,93,-75.083,6.912
Antioquia,Amalfi,5031,2006,220,118,-75.083,6.912
Antioquia,Amalfi,5031,2007,185,76,-75.083,6.912
Antioquia,Amalfi,5031,2008,264,73,-75.083,6.912
Antioquia,Amalfi,5031,2009,206,141,-75.083,6.912
Antioquia,Amalfi,5031,2010,173,97,-75.083,6.912
Antioquia,Amalfi,5031,2011,246,384,-75.083,6.912
Antioquia,Amalfi,5031,2012,240,138,-75.083,6.912
Antioquia,Amalfi,5031,2013,339,165,-75.083,6.912
Antioquia,Amalfi,5031,2014,157,90,-75.083,6.912
Antioquia,Amalfi,5031,2015,265,109,-75.083,6.912
Antioquia,Amalfi,5031,2016,110,64,-75.083,6.912
Antioquia,Amalfi,5031,2017,76,71,-75.083,6.912
Antioquia,Amalfi,5031,2018,51,139,-75.083,6.912
Antioquia,Amalfi,5031,2019,34,57,-75.083,6.912
Antioquia,Andes,5034,1977,1,0,-75.879,5.657
Antioquia,Andes,5034,1983,8,0,-75.879,5.657
Antioquia,Andes,5034,1984,5,0,-75.879,5.657
Antioquia,Andes,5034,1985,6,5,-75.879,5.657
Antioquia,Andes,5034,1986,16,6,-75.879,5.657
Antioquia,Andes,5034,1987,6,32,-75.879,5.657
Antioquia,Andes,5034,1988,14,16,-75.879,5.657
Antioquia,Andes,5034,1989,21,17,-75.879,5.657
Antioquia,Andes,5034,1990,43,41,-75.879,5.657
Antioquia,Andes,5034,1991,50,40,-75.879,5.657
Antioquia,Andes,5034,1992,62,36,-75.879,5.657
Antioquia,Andes,5034,1993,35,49,-75.879,5.657
Antioquia,Andes,5034,1994,48,47,-75.879,5.657
Antioquia,Andes,5034,1995,81,69,-75.879,5.657
Antioquia,Andes,5034,1996,53,120,-75.879,5.657
Antioquia,Andes,5034,1997,82,179,-75.879,5.657
Antioquia,Andes,5034,1998,105,194,-75.879,5.657
Antioquia,Andes,5034,1999,111,170,-75.879,5.657
Antioquia,Andes,5034,2000,179,308,-75.879,5.657
Antioquia,Andes,5034,2001,308,107,-75.879,5.657
Antioquia,Andes,5034,2002,236,178,-75.879,5.657
Antioquia,Andes,5034,2003,190,168,-75.879,5.657
Antioquia,Andes,5034,2004,228,146,-75.879,5.657
Antioquia,Andes,5034,2005,200,142,-75.879,5.657
Antioquia,Andes,5034,2006,260,62,-75.879,5.657
Antioquia,Andes,5034,2007,241,86,-75.879,5.657
Antioquia,Andes,5034,2008,318,170,-75.879,5.657
Antioquia,Andes,5034,2009,222,75,-75.879,5.657
Antioquia,Andes,5034,2010,88,100,-75.879,5.657
Antioquia,Andes,5034,2011,129,87,-75.879,5.657
Antioquia,Andes,5034,2012,139,262,-75.879,5.657
Antioquia,Andes,5034,2013,149,130,-75.879,5.657
Antioquia,Andes,5034,2014,167,126,-75.879,5.657
Antioquia,Andes,5034,2015,114,69,-75.879,5.657
Antioquia,Andes,5034,2016,69,53,-75.879,5.657
Antioquia,Andes,5034,2017,35,47,-75.879,5.657
Antioquia,Andes,5034,2018,77,66,-75.879,5.657
Antioquia,Andes,5034,2019,51,37,-75.879,5.657
Antioquia,Angelópolis,5036,1986,3,1,-75.711,6.11
Antioquia,Angelópolis,5036,1988,5,0,-75.711,6.11
Antioquia,Angelópolis,5036,1989,10,1,-75.711,6.11
Antioquia,Angelópolis,5036,1990,6,10,-75.711,6.11
Antioquia,Angelópolis,5036,1991,1,1,-75.711,6.11
Antioquia,Angelópolis,5036,1992,7,9,-75.711,6.11
Antioquia,Angelópolis,5036,1993,10,2,-75.711,6.11
Antioquia,Angelópolis,5036,1994,12,2,-75.711,6.11
Antioquia,Angelópolis,5036,1995,4,11,-75.711,6.11
Antioquia,Angelópolis,5036,1996,14,35,-75.711,6.11
Antioquia,Angelópolis,5036,1997,25,26,-75.711,6.11
Antioquia,Angelópolis,5036,1998,151,77,-75.711,6.11
Antioquia,Angelópolis,5036,1999,349,179,-75.711,6.11
Antioquia,Angelópolis,5036,2000,431,137,-75.711,6.11
Antioquia,Angelópolis,5036,2001,194,119,-75.711,6.11
Antioquia,Angelópolis,5036,2002,78,33,-75.711,6.11
Antioquia,Angelópolis,5036,2003,46,20,-75.711,6.11
Antioquia,Angelópolis,5036,2004,56,14,-75.711,6.11
Antioquia,Angelópolis,5036,2005,10,13,-75.711,6.11
Antioquia,Angelópolis,5036,2006,26,21,-75.711,6.11
Antioquia,Angelópolis,5036,2007,58,40,-75.711,6.11
Antioquia,Angelópolis,5036,2008,3,11,-75.711,6.11
Antioquia,Angelópolis,5036,2009,6,9,-75.711,6.11
Antioquia,Angelópolis,5036,2010,8,11,-75.711,6.11
Antioquia,Angelópolis,5036,2011,8,5,-75.711,6.11
Antioquia,Angelópolis,5036,2012,12,7,-75.711,6.11
Antioquia,Angelópolis,5036,2013,60,13,-75.711,6.11
Antioquia,Angelópolis,5036,2014,24,4,-75.711,6.11
Antioquia,Angelópolis,5036,2015,20,26,-75.711,6.11
Antioquia,Angelópolis,5036,2016,8,6,-75.711,6.11
Antioquia,Angelópolis,5036,2017,6,8,-75.711,6.11
Antioquia,Angelópolis,5036,2018,1,0,-75.711,6.11
Antioquia,Angelópolis,5036,2019,5,5,-75.711,6.11
Antioquia,Angostura,5038,1985,4,0,-75.335,6.885
Antioquia,Angostura,5038,1986,14,2,-75.335,6.885
Antioquia,Angostura,5038,1987,5,5,-75.335,6.885
Antioquia,Angostura,5038,1989,3,0,-75.335,6.885
Antioquia,Angostura,5038,1990,13,0,-75.335,6.885
Antioquia,Angostura,5038,1991,27,6,-75.335,6.885
Antioquia,Angostura,5038,1992,50,8,-75.335,6.885
Antioquia,Angostura,5038,1993,38,6,-75.335,6.885
Antioquia,Angostura,5038,1994,18,0,-75.335,6.885
Antioquia,Angostura,5038,1995,12,3,-75.335,6.885
Antioquia,Angostura,5038,1996,70,26,-75.335,6.885
Antioquia,Angostura,5038,1997,71,14,-75.335,6.885
Antioquia,Angostura,5038,1998,68,9,-75.335,6.885
Antioquia,Angostura,5038,1999,93,16,-75.335,6.885
Antioquia,Angostura,5038,2000,101,41,-75.335,6.885
Antioquia,Angostura,5038,2001,1592,1386,-75.335,6.885
Antioquia,Angostura,5038,2002,277,59,-75.335,6.885
Antioquia,Angostura,5038,2003,131,20,-75.335,6.885
Antioquia,Angostura,5038,2004,91,32,-75.335,6.885
Antioquia,Angostura,5038,2005,152,20,-75.335,6.885
Antioquia,Angostura,5038,2006,133,28,-75.335,6.885
Antioquia,Angostura,5038,2007,71,30,-75.335,6.885
Antioquia,Angostura,5038,2008,95,17,-75.335,6.885
Antioquia,Angostura,5038,2009,66,7,-75.335,6.885
Antioquia,Angostura,5038,2010,54,3,-75.335,6.885
Antioquia,Angostura,5038,2011,72,24,-75.335,6.885
Antioquia,Angostura,5038,2012,32,44,-75.335,6.885
Antioquia,Angostura,5038,2013,101,44,-75.335,6.885
Antioquia,Angostura,5038,2014,110,34,-75.335,6.885
Antioquia,Angostura,5038,2015,96,33,-75.335,6.885
Antioquia,Angostura,5038,2016,34,21,-75.335,6.885
Antioquia,Angostura,5038,2017,34,23,-75.335,6.885
Antioquia,Angostura,5038,2018,48,20,-75.335,6.885
Antioquia,Angostura,5038,2019,35,9,-75.335,6.885
Antioquia,Anorí,5040,1971,1,0,-75.148,7.075
Antioquia,Anorí,5040,1974,6,0,-75.148,7.075
Antioquia,Anorí,5040,1980,9,0,-75.148,7.075
Antioquia,Anorí,5040,1983,10,0,-75.148,7.075
Antioquia,Anorí,5040,1985,5,0,-75.148,7.075
Antioquia,Anorí,5040,1986,7,0,-75.148,7.075
Antioquia,Anorí,5040,1987,5,0,-75.148,7.075
Antioquia,Anorí,5040,1988,9,7,-75.148,7.075
Antioquia,Anorí,5040,1989,6,1,-75.148,7.075
Antioquia,Anorí,5040,1990,10,0,-75.148,7.075
Antioquia,Anorí,5040,1991,33,5,-75.148,7.075
Antioquia,Anorí,5040,1992,14,0,-75.148,7.075
Antioquia,Anorí,5040,1993,8,4,-75.148,7.075
Antioquia,Anorí,5040,1994,9,2,-75.148,7.075
Antioquia,Anorí,5040,1995,26,0,-75.148,7.075
Antioquia,Anorí,5040,1996,40,14,-75.148,7.075
Antioquia,Anorí,5040,1997,161,23,-75.148,7.075
Antioquia,Anorí,5040,1998,210,90,-75.148,7.075
Antioquia,Anorí,5040,1999,187,17,-75.148,7.075
Antioquia,Anorí,5040,2000,505,45,-75.148,7.075
Antioquia,Anorí,5040,2001,2238,61,-75.148,7.075
Antioquia,Anorí,5040,2002,320,10,-75.148,7.075
Antioquia,Anorí,5040,2003,103,23,-75.148,7.075
Antioquia,Anorí,5040,2004,284,165,-75.148,7.075
Antioquia,Anorí,5040,2005,176,61,-75.148,7.075
Antioquia,Anorí,5040,2006,266,83,-75.148,7.075
Antioquia,Anorí,5040,2007,352,119,-75.148,7.075
Antioquia,Anorí,5040,2008,725,70,-75.148,7.075
Antioquia,Anorí,5040,2009,222,42,-75.148,7.075
Antioquia,Anorí,5040,2010,224,43,-75.148,7.075
Antioquia,Anorí,5040,2011,6065,5409,-75.148,7.075
Antioquia,Anorí,5040,2012,305,109,-75.148,7.075
Antioquia,Anorí,5040,2013,360,120,-75.148,7.075
Antioquia,Anorí,5040,2014,255,104,-75.148,7.075
Antioquia,Anorí,5040,2015,360,44,-75.148,7.075
Antioquia,Anorí,5040,2016,117,20,-75.148,7.075
Antioquia,Anorí,5040,2017,74,37,-75.148,7.075
Antioquia,Anorí,5040,2018,91,45,-75.148,7.075
Antioquia,Anorí,5040,2019,84,50,-75.148,7.075
Antioquia,Anza,5044,1985,7,0,-75.854,6.303
Antioquia,Anza,5044,1987,4,0,-75.854,6.303
Antioquia,Anza,5044,1988,14,11,-75.854,6.303
Antioquia,Anza,5044,1989,18,6,-75.854,6.303
Antioquia,Anza,5044,1990,6,5,-75.854,6.303
Antioquia,Anza,5044,1991,15,11,-75.854,6.303
Antioquia,Anza,5044,1992,14,1,-75.854,6.303
Antioquia,Anza,5044,1993,11,0,-75.854,6.303
Antioquia,Anza,5044,1994,9,9,-75.854,6.303
Antioquia,Anza,5044,1995,47,10,-75.854,6.303
Antioquia,Anza,5044,1996,191,71,-75.854,6.303
Antioquia,Anza,5044,1997,81,32,-75.854,6.303
Antioquia,Anza,5044,1998,144,32,-75.854,6.303
Antioquia,Anza,5044,1999,257,110,-75.854,6.303
Antioquia,Anza,5044,2000,2654,2080,-75.854,6.303
Antioquia,Anza,5044,2001,152,41,-75.854,6.303
Antioquia,Anza,5044,2002,129,31,-75.854,6.303
Antioquia,Anza,5044,2003,56,25,-75.854,6.303
Antioquia,Anza,5044,2004,77,23,-75.854,6.303
Antioquia,Anza,5044,2005,55,6,-75.854,6.303
Antioquia,Anza,5044,2006,50,23,-75.854,6.303
Antioquia,Anza,5044,2007,61,4,-75.854,6.303
Antioquia,Anza,5044,2008,49,23,-75.854,6.303
Antioquia,Anza,5044,2009,33,9,-75.854,6.303
Antioquia,Anza,5044,2010,30,2,-75.854,6.303
Antioquia,Anza,5044,2011,39,4,-75.854,6.303
Antioquia,Anza,5044,2012,16,26,-75.854,6.303
Antioquia,Anza,5044,2013,20,24,-75.854,6.303
Antioquia,Anza,5044,2014,10,14,-75.854,6.303
Antioquia,Anza,5044,2015,15,0,-75.854,6.303
Antioquia,Anza,5044,2016,52,5,-75.854,6.303
Antioquia,Anza,5044,2017,12,8,-75.854,6.303
Antioquia,Anza,5044,2018,26,5,-75.854,6.303
Antioquia,Anza,5044,2019,9,0,-75.854,6.303
Antioquia,Apartadó,5045,1964,5,5,-76.626,7.883
Antioquia,Apartadó,5045,1966,2,1,-76.626,7.883
Antioquia,Apartadó,5045,1971,2,1,-76.626,7.883
Antioquia,Apartadó,5045,1975,4,2,-76.626,7.883
Antioquia,Apartadó,5045,1976,7,5,-76.626,7.883
Antioquia,Apartadó,5045,1977,15,13,-76.626,7.883
Antioquia,Apartadó,5045,1978,1,4,-76.626,7.883
Antioquia,Apartadó,5045,1979,4,4,-76.626,7.883
Antioquia,Apartadó,5045,1980,5,3,-76.626,7.883
Antioquia,Apartadó,5045,1981,16,12,-76.626,7.883
Antioquia,Apartadó,5045,1982,10,3,-76.626,7.883
Antioquia,Apartadó,5045,1983,17,18,-76.626,7.883
Antioquia,Apartadó,5045,1984,43,39,-76.626,7.883
Antioquia,Apartadó,5045,1985,219,133,-76.626,7.883
Antioquia,Apartadó,5045,1986,231,214,-76.626,7.883
Antioquia,Apartadó,5045,1987,350,276,-76.626,7.883
Antioquia,Apartadó,5045,1988,583,635,-76.626,7.883
Antioquia,Apartadó,5045,1989,466,328,-76.626,7.883
Antioquia,Apartadó,5045,1990,570,521,-76.626,7.883
Antioquia,Apartadó,5045,1991,631,521,-76.626,7.883
Antioquia,Apartadó,5045,1992,831,907,-76.626,7.883
Antioquia,Apartadó,5045,1993,1790,1602,-76.626,7.883
Antioquia,Apartadó,5045,1994,4957,2082,-76.626,7.883
Antioquia,Apartadó,5045,1995,4566,3906,-76.626,7.883
Antioquia,Apartadó,5045,1996,4965,8450,-76.626,7.883
Antioquia,Apartadó,5045,1997,9753,17198,-76.626,7.883
Antioquia,Apartadó,5045,1998,3990,2878,-76.626,7.883
Antioquia,Apartadó,5045,1999,2490,2666,-76.626,7.883
Antioquia,Apartadó,5045,2000,4591,4067,-76.626,7.883
Antioquia,Apartadó,5045,2001,3118,3954,-76.626,7.883
Antioquia,Apartadó,5045,2002,3230,2976,-76.626,7.883
Antioquia,Apartadó,5045,2003,1161,1286,-76.626,7.883
Antioquia,Apartadó,5045,2004,1418,1358,-76.626,7.883
Antioquia,Apartadó,5045,2005,3165,2484,-76.626,7.883
Antioquia,Apartadó,5045,2006,2817,2570,-76.626,7.883
Antioquia,Apartadó,5045,2007,2462,2035,-76.626,7.883
Antioquia,Apartadó,5045,2008,2055,2010,-76.626,7.883
Antioquia,Apartadó,5045,2009,1381,930,-76.626,7.883
Antioquia,Apartadó,5045,2010,1029,909,-76.626,7.883
Antioquia,Apartadó,5045,2011,1067,807,-76.626,7.883
Antioquia,Apartadó,5045,2012,1038,567,-76.626,7.883
Antioquia,Apartadó,5045,2013,1299,965,-76.626,7.883
Antioquia,Apartadó,5045,2014,1196,498,-76.626,7.883
Antioquia,Apartadó,5045,2015,884,394,-76.626,7.883
Antioquia,Apartadó,5045,2016,438,174,-76.626,7.883
Antioquia,Apartadó,5045,2017,425,256,-76.626,7.883
Antioquia,Apartadó,5045,2018,388,272,-76.626,7.883
Antioquia,Apartadó,5045,2019,216,135,-76.626,7.883
Antioquia,Arboletes,5051,1959,5,5,-76.427,8.851
Antioquia,Arboletes,5051,1970,3,3,-76.427,8.851
Antioquia,Arboletes,5051,1974,3,0,-76.427,8.851
Antioquia,Arboletes,5051,1975,4,0,-76.427,8.851
Antioquia,Arboletes,5051,1978,1,2,-76.427,8.851
Antioquia,Arboletes,5051,1979,1,7,-76.427,8.851
Antioquia,Arboletes,5051,1980,44,30,-76.427,8.851
Antioquia,Arboletes,5051,1981,26,0,-76.427,8.851
Antioquia,Arboletes,5051,1982,13,17,-76.427,8.851
Antioquia,Arboletes,5051,1983,25,14,-76.427,8.851
Antioquia,Arboletes,5051,1984,89,15,-76.427,8.851
Antioquia,Arboletes,5051,1985,265,123,-76.427,8.851
